Admin,administrator
Algorithm,algorytm
Application,aplikacja
Backup,kopia zapasowa
Boot,inicjalizacja systemu
Browser,przegladarka
Bug,blad w kodzie
Casing,obudowa
Charger,zasilacz
Cloud,chmura
Code,kod
Command,komenda
Computer monitor,monitor komputera
Content,zawartosc
Control panel,panel sterowania
CPU (Central Processing Unit),procesor
Crash,zawieszenie sie 
Cursor,kursor
Cut,wycinac
Dashboard,panel
Data,dane
Database,baza danych
Debugging,debugowanie
Delete,kasowac
Deploy,wdrazac do produkcji
Desktop,pulpit
Developer,programista
Development,opracowywanie oprogramowania
Device,urzadzenie
Document,dokument
Download,pobieranie
Drag,przeciaganie
Drivers,sterowniki
Edit,edytowac
Encryption,szyfrowanie
Environment,srodowisko
Error,blad
External drive,dysk zewnetrzny
Fan,wentylator
Feature,cecha
Feedback,opinia
File,plik
Folder,folder
Font,czcionka
Freeze,zawieszenie sie komputera
Functionality,funkcjonalnosc
Hard drive,dysk twardy
Hardware,sprzet
Help,pomoc
Highlight,zaznaczenie
Icon,ikona
Interface,interfejs
Internet access,dostep do Internetu
Internet provider,dostawca Internetu
Keyboard,klawiatura
Keyboard shortcut,skrot na klawiaturze
Launch,otwarcie aplikacji
Layout,uklad
Login,nazwa uzytkownika
Logout,wylogowac sie
MB (megabyte),megabajt
Memory,pamiec
Mobile platform,platforma mobilna
Motherboard,plyta glowna
Mouse,mysz
Mouse pad,podkladka pod mysz
network,siec
Open source software,otwarte oprogramowanie
Operating system,system operacyjny
Options,ustawienia
Partition,partycja
Password,haslo
Paste,wklejac
PC (personal computer),komputer stacjonarny
Plugin,wtyczka
Port,port
Power supply,zasilanie
Preview,podglad
Programming language,jezyk programowania
QA (Quality Assurance),kontrola jakosci
RAM (Random Access Memory),pamiec o dostepie dowolnym
Save,zapisac
Save as,zapisac jako
Screen resolution,rozdzielczosc ekranu
Scroll,przewijac
Scroll bar,pasek przewijania
Server,serwer
Software,oprogramowanie
Software engineering,inzynieria oprogramowania
Software quality,jakosc oprogramowania
Sound card,karta dzwiekowa
Speakers,glosniki
Spreadsheet,arkusz obliczeniowy
Subscribe,zapisac sie
Support,pomoc
Testing,testowanie
Toolbar,pasek narzedzi
Tools,narzedzia
Touchpad,panel dotykowy
Update,aktualizacja
Upload,udostepnianie
USB port,port USB
User,uzytkownik
Video card,karta graficzna
Widget,widzet
Window,okno
Wireless network,siec bezprzewodowa
